categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Jabones,197,XTRACOOL,REXONA,JABON REXONA XTRACOOL X125G  ,749.0,Blowmax,https://blowmax.com.ar/producto/jabon-rexona-xtracool-x125g/,125
Shampoos,198,HIALURONICO Y VIT A,SEDAL,SH SEDAL HIALURONICO Y VIT A X190ML  ,1890.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-hialuronico-y-vit-a-x190ml/,190
Shampoos,199,HIALURONICO Y VIT A,SEDAL,SH SEDAL HIALURONICO Y VIT A X340ML  ,3190.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-hialuronico-y-vit-a-x340ml/,340
Shampoos,200,JENGIBRE Y RICINO,SEDAL,SH SEDAL JENGIBRE Y RICINO 190ML  ,1890.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-jengibre-y-ricino-190ml/,190
Shampoos,201,JENGIBRE Y RICINO,SEDAL,SH SEDAL JENGIBRE Y RICINO 340ML  ,3190.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-jengibre-y-ricino-340ml/,340
Shampoos,202,JENGIBRE Y RICINO,SEDAL,SH SEDAL JENGIBRE Y RICINO 650ML  ,5290.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-jengibre-y-ricino-650ml/,650
Shampoos,203,LISO PERFECTO,SEDAL,SH SEDAL LISO PERF 190ML  ,1890.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-liso-perf-190ml/,190
Shampoos,204,LISO PERFECTO HIDRAT,SEDAL,SH SEDAL LISO PERF HIDRAT 340ML  ,3190.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-liso-perf-hidrat-340ml/,340
Shampoos,205,PREBIOTICOS +BIOTINA,SEDAL,SH SEDAL PREBIOTICOS +BIOTINA  X340ML  ,3190.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-prebioticos-biotina-x340ml/,340
Shampoos,206,RESTAURACION INSTANTANEA,SEDAL,SH SEDAL REST INSTANTANEA 190ML  ,1890.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-rest-instantanea-190ml/,190
Shampoos,207,RESTAURACION INSTANTANEA,SEDAL,SH SEDAL REST INSTANTANEA 340ML  ,3190.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-rest-instantanea-340ml/,340
Shampoos,208,RIZOS DEFINIDOS,SEDAL,SH SEDAL RIZOS DEF 190ML  ,1890.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-rizos-def-190ml/,190
Shampoos,209,RIZOS DEFINIDOS,SEDAL,SH SEDAL RIZOS DEF 340ML  ,3190.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-rizos-def-340ml/,340
Shampoos,210,RIZOS DEFINIDOS,SEDAL,SH SEDAL RIZOS DEF 650ML  ,5190.0,Blowmax,https://blowmax.com.ar/producto/sh-sedal-rizos-def-650ml/,650
Shampoos,211,KERATINA ANTI FRIZZ,TRESEMME,SH TRESEMME KERATINA ANTI FRIZZ 250ML  ,3199.0,Blowmax,https://blowmax.com.ar/producto/sh-tresemme-keratina-anti-frizz-250ml/,250
Shampoos,212,LISO BOTOX,TRESEMME,SH TRESEMME LISO BOTOX 500ML  ,5250.0,Blowmax,https://blowmax.com.ar/producto/sh-tresemme-liso-botox-500ml/,500
Gaseosas,213,POMELO SIN AZUCAR,SCHWEPPES,GASEOSA SCHWEPPES POMELO ZERO X 500CC  ,980.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-schweppes-pomelo-zero-x-500cc/,500
Fideos,214,SPAGHETTI,MATARAZZO,FIDEOS MATARAZZO SPAGHETTI  X 500GR  ,1250.0,Blowmax,https://blowmax.com.ar/producto/fideos-matarazzo-spaghetti-x-500gr/,500
Gaseosas,215,TONICA,SCHWEPPES,GASEOSA SCHWEPPES TONICA LATA X 310CC  ,990.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-schweppes-tonica-lata-x-310cc/,310
Gaseosas,216,TONICA,SCHWEPPES,"GASEOSA SCHWEPPES TONICA X 1,5LT  ",2600.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-schweppes-tonica-x-15lt/,1500
Gaseosas,217,COLA,SECCO,GASEOSA SECCO COLA 3L  ,1390.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-secco-cola-3l/,3000
Gaseosas,218,LIMA,SECCO,GASEOSA SECCO LIMA 3L  ,1390.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-secco-lima-3l/,3000
Gaseosas,219,LIMON,SECCO,GASEOSA SECCO LIMON 3L  ,1390.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-secco-limon-3l/,3000
Gaseosas,220,NARANJA,SECCO,GASEOSA SECCO NARANJA 3L  ,1390.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-secco-naranja-3l/,3000
Gaseosas,221,,SPRITE,GASEOSA SPRITE LATA 354CC  ,990.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-sprite-lata-354cc/,354
Gaseosas,222,,SPRITE,"GASEOSA SPRITE X 1,5LT  ",2600.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-sprite-x-15lt/,1500
