categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Shampoos,110,RESTAURACION INSTANTANEA,SEDAL,Shampoo Sedal Restauracion Instantanea X 190 Ml,2538.0,ModoMarket,https://www.modomarket.com/shampoo-sedal-restauracion-instantanea-x-190-ml/p,190
Fideos,126,MOSTACHOL,ROBLES,Fideos Guiseros Robles Mostachol X 500 G,888.0,ModoMarket,https://www.modomarket.com/fideos-guiseros-robles-mostachol-x-500-g/p,500
Fideos,127,AL HUEVO TALLARIN,LUCCHETTI,Fideos Lucchetti Al Huevo Tallarin X 500 G,1393.0,ModoMarket,https://www.modomarket.com/fideos-lucchetti-al-huevo-tallarin-x-500-g/p,500
Fideos,129,LAMINADO ESPINACA,ROBLES,Fideos Robles Laminado Espinaca X 500 G,1084.0,ModoMarket,https://www.modomarket.com/fideos-robles-laminado-espinaca-x-500-g/p,500
Fideos,132,MOSTACHOL CON HUEVO,GRANDIET,Fideos Grandiet Mostacholes Con Huevo X 500 G,6131.0,ModoMarket,https://www.modomarket.com/fideos-grandiet-mostacholes-con-huevo-x-500-g/p,500
Fideos,133,MOSTACHOL CON MORRONES,GRANDIET,Fideos Grandiet Mostacholes Con Morrones X 500 G,5518.0,ModoMarket,https://www.modomarket.com/fideos-grandiet-mostacholes-con-morrones-x-500-g/p,500
Fideos,138,MOSTACHOL ESPINACA,GRANDIET,Fideos Grandiet Mostachol Espinaca X 500 Gr,7121.0,ModoMarket,https://www.modomarket.com/fideos-grandiet-mostachol-espinaca-x-500-gr/p,500
Fideos,139,DEDALITO,LUCCHETTI,Fideos Lucchetti Dedalitos X 500 Gr,1035.0,ModoMarket,https://www.modomarket.com/fideos-lucchetti-dedalitos-x-500-gr/p,500
Fideos,140,INTEGRALES,SOYARROZ,Fideos Soyarroz Integrales X 300 Gr,3657.0,ModoMarket,https://www.modomarket.com/fideos-soyarroz-integrales-x-300-gr/p,300
Fideos,141,MAIZ,SOYARROZ,Fideos Soyarroz Maiz X 300 Gr,3657.0,ModoMarket,https://www.modomarket.com/fideos-soyarroz-maiz-x-300-gr/p,300
Fideos,142,CON ESPINACA,SOYARROZ,Fideos Soyarroz Con Espinaca X 300 Gr,3657.0,ModoMarket,https://www.modomarket.com/fideos-soyarroz-con-espinaca-x-300-gr/p,300
