categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Gaseosas,94,,MIRINDA,MIRINDA DESCARTABLE 2.25Lts,1799.0,Segal,https://www.casa-segal.com/producto/mirinda-descartable-2-25lts/,2250
Gaseosas,95,,PEPSI,PEPSI 2.25Lts,1999.0,Segal,https://www.casa-segal.com/producto/pepsi-2-25lts/,2250
Gaseosas,96,FRUTOS TROPICALES ROJOS,POWERADE,POWERADE FRUTOS TROPICALES ROJOS 500cc,1450.0,Segal,https://www.casa-segal.com/producto/powerade-frutos-tropicales-rojos-500cc/,500
Gaseosas,97,M.BLAS AZUL,POWERADE,POWERADE M.BLAS AZUL 500cc,1450.0,Segal,https://www.casa-segal.com/producto/powerade-m-blas-azul-500cc/,500
Gaseosas,98,TONICA,SCHWEPPES,SCHWEPPES TÓNICA 1.5Lts,2499.0,Segal,https://www.casa-segal.com/producto/schweppes-tonica-1-5lts/,1500
Fideos,99,PENNE RIGATE,LUCCHETTI,FIDEOS PENNE RIGATE LUCCHETTI 500g,899.0,Segal,https://www.casa-segal.com/producto/fideos-penne-rigate-lucchetti-500g/,500
Fideos,100,PENNE RIGATE,MATARAZZO,FIDEOS PENNE RIGATE MATARAZZO 500g,1099.0,Segal,https://www.casa-segal.com/producto/fideos-penne-rigate-matarazzo-500g/,500
Fideos,101,RIGATTI,LA PROVIDENCIA,FIDEOS RIGATTI LA PROVIDENCIA 500g,799.0,Segal,https://www.casa-segal.com/producto/fideos-rigatti-la-providencia-500g/,500
Fideos,102,SPAGHETTI,LA PROVIDENCIA,FIDEOS SPAGHETTI  LA PROVIDENCIA 500g,799.0,Segal,https://www.casa-segal.com/producto/fideos-spaghetti-la-providencia-500g/,500
Fideos,103,SPAGHETTI INTEGRAL,MATARAZZO,FIDEOS SPAGHETTI INTEGRAL MATARAZZO 500g,1399.0,Segal,https://www.casa-segal.com/producto/fideos-spaghetti-integral-matarazzo-500g/,500
Fideos,104,SPAGHETTI,LUCCHETTI,FIDEOS SPAGHETTI LUCCHETTI 500g,949.0,Segal,https://www.casa-segal.com/producto/fideos-spaghetti-lucchetti-500g/,500
Fideos,105,SPAGHETTI,MATARAZZO,FIDEOS SPAGHETTI MATARAZZO 500g,1099.0,Segal,https://www.casa-segal.com/producto/fideos-spaghetti-matarazzo-500g/,500
Fideos,106,SPAGHETTI,TERRABUSI,FIDEOS SPAGHETTI TERRABUSI 500g,799.0,Segal,https://www.casa-segal.com/producto/fideos-spaghetti-terrabusi-500g/,500
Fideos,107,TALLARIN,LA PROVIDENCIA,FIDEOS TALLARÍN LA PROVIDENCIA 500g,799.0,Segal,https://www.casa-segal.com/producto/fideos-tallarin-la-providencia-500g/,500
Fideos,108,TALLARIN,LUCCHETTI,FIDEOS TALLARÍN LUCCHETTI 500g,949.0,Segal,https://www.casa-segal.com/producto/fideos-tallarin-lucchetti-500g/,500
Fideos,109,TALLARIN,MATARAZZO,FIDEOS TALLARÍN MATARAZZO 500g,1099.0,Segal,https://www.casa-segal.com/producto/fideos-tallarin-matarazzo-500g/,500
Fideos,110,TALLARIN,TERRABUSI,FIDEOS TALLARÍN TERRABUSI 500g,799.0,Segal,https://www.casa-segal.com/producto/fideos-tallarin-terrabusi-500g/,500
Leches,111,DESCREMADA,TREGAR,LECHE DESCREMADA 1Lt TREGAR,1289.0,Segal,https://www.casa-segal.com/producto/leche-descremada-1lt-tregar/,1000
Shampoos,112,RECONSTRUCCION COMPLETA,DOVE,DOVE SHAMPOO 400ml RECONSTRUCCIÓN COMPLETA,4229.0,Segal,https://www.casa-segal.com/producto/dove-shampoo-400ml-reconstruccion-completa/,400
Shampoos,113,REGENERACION EXTREMA,DOVE,DOVE SHAMPOO 400ml REGENERACIÓN EXTREMA,4229.0,Segal,https://www.casa-segal.com/producto/dove-shampoo-400ml-regeneracion-extrema/,400
Shampoos,114,RITUAL CRECIMIENTO,DOVE,DOVE SHAMPOO 400ml RITUAL CRECIMIENTO,4229.0,Segal,https://www.casa-segal.com/producto/dove-shampoo-400ml-ritual-crecimiento/,400
Shampoos,115,RITUAL DETOX,DOVE,DOVE SHAMPOO 400ml RITUAL DETOX,4229.0,Segal,https://www.casa-segal.com/producto/dove-shampoo-400ml-ritual-detox/,400
Shampoos,116,RITUAL FORTALECIMIENTO,DOVE,DOVE SHAMPOO 400ml RITUAL FORTALECIMIENTO,4229.0,Segal,https://www.casa-segal.com/producto/dove-shampoo-400ml-ritual-fortalecimiento/,400
