categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Shampoos,140,P/PIOJO KIDS ZERO PIOJOS,ALGABO,SHAMPOO P/PIOJO ALGABO KIDS ZERO PIOJOS 500 ML.,4392.0,Atomo,https://atomoconviene.com/atomo-ecommerce/inicio/34458-shampoo-p-piojo-algabo-kids-zero-piojos-500-ml---7791274199899.html,500
Shampoos,141,DETOX CAPILAR,TRESEMME,SHAMPOO TRESEMME DETOX CAPILAR 500 ML.,3666.6,Atomo,https://atomoconviene.com/atomo-ecommerce/shampoo/15090-shampoo-tresemme-detox-capilar-500-ml---7791293050232.html,500
Shampoos,142,OLEO NUTRICION,DOVE,SHAMPOO DOVE OLEO NUTRICION 200 ML.,3683.0,Atomo,https://atomoconviene.com/atomo-ecommerce/shampoo/79292-shampoo-dove-oleo-nutricion-200-ml---7791293046990.html,200
Shampoos,143,B.BRILLO Y VITA,VO5,SHAMPOO FLIAR VO5 B.BRILLO Y VITA 790 ML.,2273.6,Atomo,https://atomoconviene.com/atomo-ecommerce/shampoo/64377-shampoo-fliar-vo5-b-brillo-y-vita-790-ml---7791520050660.html,790
Shampoos,144,B.NUTRIC.INTEN,VO5,SHAMPOO FLIAR VO5 B.NUTRIC.INTEN 790 ML.,2273.6,Atomo,https://atomoconviene.com/atomo-ecommerce/shampoo/64441-shampoo-fliar-vo5-b-nutric-inten-790-ml---7791520050691.html,790
Shampoos,145,ELIXIR,INECTO,SHAMPOO INECTO ELIXIR 400 ML.,4734.0,Atomo,https://atomoconviene.com/atomo-ecommerce/shampoo/90851-shampoo-inecto-elixir-400-ml---7794740081018.html,400
Shampoos,146,LIMP Y REVITAL,HEAD & SHOULDERSOULDERS,SHAMPOO HEAD & SHOULDER LIMP Y REVITAL 180 ML.,4703.0,Atomo,https://atomoconviene.com/atomo-ecommerce/shampoo/38572-shampoo-head---shoulder-limp-y-revital-180-ml---7500435202671.html,180
Shampoos,147,LIMP Y REVITAL,HEAD & SHOULDERSOULDERS,SHAMPOO HEAD & SHOULDER LIMP Y REVITAL 375 ML.,7875.0,Atomo,https://atomoconviene.com/atomo-ecommerce/shampoo/38578-shampoo-head---shoulder-limp-y-revital-375-ml---7500435202695.html,375
Shampoos,148,INFANTIL 2EN1 SAND SURFE,SUAVE,SHAMPOO INFANTIL SUAVE 2EN1 SAND SURFE 350 ML,4016.0,Atomo,https://atomoconviene.com/atomo-ecommerce/cuidado-del-bebe/76449-shampoo-infantil-suave-2en1-sand-surfe-350-ml--7791293027883.html,350
Shampoos,149,PARA BEBE BABY ORIGINAL,JOHNSONS,SHAMPOO PARA BEBE JOHNSON BABY ORIGINAL 200 ML.,5034.0,Atomo,https://atomoconviene.com/atomo-ecommerce/cuidado-del-bebe/78426-shampoo-para-bebe-johnson-baby-original-200-ml---7790010003162.html,200
